Şube No	Şube Adı	Şehir	İlçe	Adres	Telefon	Enlem	Boylam	Yemeksepeti	Getir	Trendyol	Migros
219	AMASYA GÜMÜŞHACIKÖY (E.K)	AMASYA	GÜMÜŞHACIKÖY	CUMARA MAH. ZÜBEYDE HANIM BLV.ÇUKUR SOK NO:2/1 GÜMÜŞHACIKÖY AMASYA	0358 545 20 21	408742536.392017	35216187936.098701	https://www.yemeksepeti.com/restaurant/nf5n/bereket-doner-nf5n	https://getir.com/yemek/restoran/bereket-doner-gumushacikoy-cumada-mah-gumushacikoy-amasya/
220	İST BAĞCILAR MEYDAN (E.K)	İSTANBUL	BAĞCILAR	Çınar, İstanbul Cd. No:27-29/D, 34200 Bağcılar/İstanbul	(0212) 605 05 00	4103433858.104802	28860187681.486313	https://www.yemeksepeti.com/restaurant/dpc9/bereket-doner-dpc9	https://getir.com/yemek/restoran/bereket-doner-cinar-mah-bagcilar-istanbul/
222	İST ATAŞEHİR KÜÇÜKBAKKALKÖY (E.K)	İSTANBUL	ATAŞEHİR	Küçükbakkalköy, Başöğretmen Cd No:5 D:C, 34758 Ataşehir/İstanbul	(0216) 573 28 58	409793422.336187	2911288306.117058	https://www.yemeksepeti.com/restaurant/w8jt/bereket-doner-w8jt	https://getir.com/yemek/restoran/bereket-doner-basogretmen-cad-atasehir-istanbul/
223	İST K.ÇEKMECE CENNET MAH.	İSTANBUL	KÜÇÜKÇEKMECE	Cennet Mahallesi Hürriyet Caddesi No 87-37 Küçükçekmece İstanbul	0212 955 05 00	40992423254.327873	28778954748.645256	https://www.yemeksepeti.com/restaurant/du1w/bereket-doner-du1w	https://getir.com/yemek/restoran/bereket-doner-cennet-mah-kucukcekmece-istanbul/
224	ANK ÇANKAYA ÇUKURAMBAR (E.K)	ANKARA	ÇUKURAMBAR	EROL YAŞAR TÜRKALP CAD. NO : 18/A ÇUKURAMBAR ANKARA	0312 220 44 06	3990030153.432459	32804221898.383305	https://www.yemeksepeti.com/restaurant/cjbq/bereket-doner-cjbq	https://getir.com/yemek/restoran/bereket-doner-cankaya-cukurambar-mah-cankaya-ankara/
230	İST BAŞAKŞEHİR KAYAŞEHİR (E.K)	İSTANBUL	BAŞAKŞEHİR	Kayaşehir Mahallesi Adnan Menderes Bulvarı Park Mavera T/3 No:10FG Başaksehir/İstanbul	0212 955 0501	4111790909.186327	28773427272.769745	https://www.yemeksepeti.com/restaurant/x31r/bereket-doner-x31r	https://getir.com/yemek/restoran/bereket-doner-kayabasi-mah-basaksehir-istanbul/
1004	İZMİR BORNOVA KÜÇÜKPARK	İZMİR	BORNOVA	161 sok.no19 A Bornova İzmir	(0232) 955 07 12	3845976067.299778	27213281857.182606	https://www.yemeksepeti.com/restaurant/evgk/bereket-doner-evgk	https://getir.com/yemek/restoran/bereket-doner-bornova-kazimdirik-mah-bornova-izmir/
1005	İST ÇEKMEKÖY TAŞDELEN (E.K)	İSTANBUL	ÇEKMEKÖY	Güngören Mahallesi Turgut Özal Cad. No: 60/A Çekmeköy/İstanbul	0 216 429 3333	41027201925.564941	2922159598.663852	https://www.yemeksepeti.com/restaurant/entx/bereket-doner-entx	https://getir.com/yemek/restoran/bereket-doner-gungoren-mah-cekmekoy-istanbul/
1006	İST GOP MEYDAN (E.K)	İSTANBUL	GAZİOSMANPAŞA	Merkez Mah. Salihpaşa Cad. No:29/A Gaziosmanpaşa	0212 955 00 12	41056870919.385651	2891114933.748318	https://www.yemeksepeti.com/restaurant/ktf6/bereket-doner-ktf6	https://getir.com/yemek/restoran/bereket-doner-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul/
1007	İST ESENLER MEYDAN (E.K)	İSTANBUL	ESENLER	Menderes, 301. Sk No: 2, 34225 Esenler/İstanbul	(0212) 823 04 05	41037893502.518509	28882018893.982635	https://www.yemeksepeti.com/restaurant/r86r/bereket-doner-r86r	https://getir.com/yemek/restoran/bereket-doner-menderes-mah-esenler-istanbul/
1008	İST PENDİK LENS AVM (E.K)	İSTANBUL	PENDİK	Yenişehir, Lens AVM İstanbul, Sümbül Sk C blok 2E, 34912 Pendik/İstanbul	(0216) 755 84 44	4092741959.537749	29312473350.297844	https://www.yemeksepeti.com/restaurant/uo5b/bereket-doner-uo5b	https://getir.com/yemek/restoran/bereket-doner-yenisehir-mah-pendik-istanbul/
